job_url,position_name,date of joining,contract_duration,salary,vessel_type,country
https://jobs.maritimecareers.com/job1,Chief Engineer,2024-12-15,6 months,"$7,500/month",General Cargo,Singapore
https://jobs.maritimecareers.com/job2,Chief Officer,2024-12-01,8 months,"$6,800/month",Bulk Carrier,Norway
https://jobs.maritimecareers.com/job3,Second Engineer,2024-11-30,6 months,"$6,000/month",Oil Tanker,UAE
https://jobs.maritimecareers.com/job4,Electrical Officer,2025-01-10,4 months,"$5,500/month",Container Ship,USA
https://jobs.maritimecareers.com/job5,Third Engineer,2024-12-20,5 months,"$5,000/month",LNG Carrier,Japan
https://jobs.maritimecareers.com/job6,Deck Cadet,2024-12-05,3 months,"$2,000/month",Chemical Tanker,Greece
https://jobs.maritimecareers.com/job7,Able Seaman,2025-01-05,6 months,"$3,200/month",Offshore Supply,Brazil
https://jobs.maritimecareers.com/job8,Bosun,2025-01-20,6 months,"$3,800/month",Reefer Vessel,Philippines
https://jobs.maritimecareers.com/job9,Third Officer,2024-11-25,4 months,"$4,200/month",Car Carrier,South Korea
https://jobs.maritimecareers.com/job10,Chief Cook,2024-12-18,6 months,"$3,000/month",Fishing Vessel,Iceland
https://jobs.maritimecareers.com/job11,Master,2024-12-22,8 months,"$9,000/month",Bulk Carrier,Australia
https://jobs.maritimecareers.com/job12,Chief Engineer,2025-01-12,6 months,"$8,200/month",Oil Tanker,USA
https://jobs.maritimecareers.com/job13,Chief Officer,2024-12-10,7 months,"$7,000/month",Chemical Tanker,Netherlands
https://jobs.maritimecareers.com/job14,Second Officer,2025-02-01,4 months,"$5,200/month",General Cargo,Canada
https://jobs.maritimecareers.com/job15,Third Officer,2024-12-29,5 months,"$4,000/month",Container Ship,UK
https://jobs.maritimecareers.com/job16,Electrical Engineer,2025-01-15,6 months,"$6,500/month",LNG Carrier,South Africa
https://jobs.maritimecareers.com/job17,Bosun,2025-02-10,4 months,"$3,500/month",Offshore Supply,Malaysia
https://jobs.maritimecareers.com/job18,Deck Cadet,2024-12-05,3 months,"$2,200/month",Car Carrier,France
https://jobs.maritimecareers.com/job19,Able Seaman,2024-11-28,5 months,"$3,100/month",Research Vessel,Germany
https://jobs.maritimecareers.com/job20,Steward,2025-01-20,4 months,"$2,500/month",Fishing Vessel,Iceland
https://jobs.maritimecareers.com/job21,Welder,2025-01-28,6 months,"$4,300/month",Reefer Vessel,Russia
https://jobs.maritimecareers.com/job22,Engine Cadet,2024-12-18,3 months,"$2,300/month",General Cargo,India
https://jobs.maritimecareers.com/job23,Marine Mechanic,2025-02-05,7 months,"$5,500/month",Cruise Ship,Italy
https://jobs.maritimecareers.com/job24,Safety Officer,2024-12-15,5 months,"$5,800/month",Bulk Carrier,Greece
https://jobs.maritimecareers.com/job25,Radio Officer,2024-12-22,4 months,"$4,500/month",Tanker,UAE
https://jobs.maritimecareers.com/job26,Chief Steward,2025-01-05,6 months,"$3,700/month",Offshore Drilling,Norway
https://jobs.maritimecareers.com/job27,Ordinary Seaman,2025-02-10,4 months,"$2,800/month",Offshore Supply,Portugal
https://jobs.maritimecareers.com/job28,Motorman,2025-01-15,5 months,"$3,900/month",General Cargo,Philippines
https://jobs.maritimecareers.com/job29,Chief Cook,2024-11-30,6 months,"$3,200/month",Cargo Ship,Japan
https://jobs.maritimecareers.com/job30,Chief Electrician,2025-01-25,5 months,"$6,700/month",Oil Tanker,Saudi Arabia
